CustomerID,Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,CustomerTenureDays,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,UniqueDescriptions,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,ZeroPriceCount,CancelledTransactions,ReturnRatio,TotalTransactions,UniqueInvoices,AvgLinesPerInvoice,Age,RegistrationDate,NewsletterSubscribed,LastLoginIP,SupportTicketsCount,SatisfactionScore,RFMSegment,AgeCategory,SpendingCategory,CustomerType,FavoriteSeason,PreferredTimeOfDay,Region,LoyaltyLevel,ChurnRiskCategory,WeekendPreference,BasketSizeCategory,ProductDiversity,Gender,AccountStatus,Country,Churn
17850,302,35,5288.630000000001,16.950737179487184,13.603661689116102,-30.6,107.25,1693,5.426282051282051,-12,12,71,374,3,9,12,0.0,0.2218649517684887,24,25,0.6857142857142857,1,15,0,15,0.048076923076923,312,35,8.914285714285715,,17/07/10,Yes,59.252.219.201,1.0,4.0,Fidèles,Inconnu,VIP,Perdu,Hiver,Matin,UK,Jeune,Critique,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom,1
13047,32,18,3079.1,15.70969387755102,11.6847688239824,-15.0,68.0,1355,6.913265306122449,-3,32,342,374,2,13,10,0.1683673469387755,1.7179487179487178,106,106,5.888888888888889,1,24,0,24,0.1224489795918367,196,18,10.88888888888889,,2010-10-04,Yes,77.255.247.14,3.0,4.0,Champions,Inconnu,VIP,Régulier,Automne,Midi,UK,Établi,Moyen,Semaine,Moyen,Explorateur,M,Active,United Kingdom,0
12583,3,18,7187.34,28.634820717131475,23.15013187581723,-60.84,132.8,5009,19.95617529880478,-36,360,370,374,4,12,11,0.0557768924302788,1.456,115,117,6.388888888888889,1,4,0,4,0.0159362549800796,251,18,13.944444444444445,46.0,12/09/2009,Yes,51.139.78.80,2.0,5.0,Champions,45-54,VIP,Hyperactif,Automne,Midi,Europe continentale,Ancien,Faible,Semaine,Grand,Explorateur,Unknown,Active,France,0
13748,96,5,948.25,33.86607142857142,42.95311926234322,9.36,204.0,439,15.678571428571429,1,80,278,374,0,9,9,0.0,10.25925925925926,24,24,4.8,1,0,0,0,0.0,28,5,5.6,32.0,28/01/10,Yes,10.212.80.124,2.0,2.0,Potentiels,25-34,High,Nouveau,Automne,Matin,UK,Établi,Critique,Inconnu,Grand,Explorateur,Unknown,Active,United Kingdom,1
15100,330,6,635.1,105.85,215.9862634521001,-131.39999999999998,350.4,58,9.666666666666666,-12,32,43,374,2,9,12,0.0,8.2,1,1,0.1666666666666666,1,3,0,3,0.5,6,6,1.0,,2009-12-10,Yes,186.34.121.80,2.0,1.0,Potentiels,Inconnu,High,Perdu,Hiver,Matin,UK,Jeune,Critique,Inconnu,Moyen,Spécialisé,M,Active,United Kingdom,1
15291,26,20,4596.51,42.16981651376147,49.09086065619568,-35.49,243.36,2074,19.027522935779817,-21,144,348,374,2,16,1,0.1651376146788991,3.1481481481481484,63,63,3.15,1,6,0,6,0.055045871559633,109,20,5.45,25.0,10/18/2010,Yes,206.53.156.18,2.0,5.0,Champions,25-34,VIP,Hyperactif,Hiver,Après-midi,UK,Établi,Faible,Semaine,Grand,Explorateur,M,Active,United Kingdom,0
14688,8,27,5107.38,14.226685236768802,23.644469782005174,-72.15,153.0,3222,8.974930362116991,-39,120,366,374,1,12,12,0.0,0.9972067039106144,148,151,5.481481481481482,1,32,0,32,0.0891364902506963,359,27,13.296296296296296,78.0,02/11/10,Yes,154.102.135.173,3.0,2.0,Champions,65+,VIP,Hyperactif,Hiver,Midi,UK,Ancien,Faible,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom,0
17809,16,15,4627.62,72.3065625,142.20644033836976,-717.23,425.0,2015,31.484375,-40,144,357,374,4,15,10,0.0,5.587301587301587,47,49,3.1333333333333333,1,3,0,3,0.046875,64,15,4.266666666666667,38.0,2010-12-17,Yes,98.239.241.45,2.0,2.0,Champions,35-44,VIP,Hyperactif,Automne,Après-midi,UK,Établi,Faible,Inconnu,Grand,Explorateur,F,Active,United Kingdom,0
15311,1,118,59419.34,23.85360899237254,46.625077317700935,-275.0,408.0,37720,15.14251304696909,-100,288,373,374,1,13,1,0.0397430750702529,0.1285140562248996,571,580,4.838983050847458,1,112,0,112,0.0449618627057406,2491,118,21.110169491525426,,09/23/2010,Yes,199.225.35.180,1.0,3.0,Champions,Inconnu,VIP,Hyperactif,Hiver,Midi,UK,Ancien,Faible,Semaine,Grand,Explorateur,M,Active,United Kingdom,0
14527,3,86,7711.38,7.627477744807122,9.759291387411546,-80.0,87.6,2049,2.026706231454006,-2,36,371,374,2,12,12,0.049455984174085,0.3336633663366337,331,338,3.8488372093023258,1,39,0,39,0.0385756676557863,1011,86,11.755813953488373,75.0,04/09/10,Yes,114.231.21.241,2.0,1.0,Champions,65+,VIP,Hyperactif,Hiver,Midi,UK,Ancien,Faible,Semaine,Petit,Explorateur,M,Active,United Kingdom,0
16098,88,7,2005.63,29.934776119402983,35.43095185809055,3.75,178.20000000000002,613,9.149253731343284,1,50,286,374,1,9,9,0.0,4.2727272727272725,34,34,4.857142857142857,1,0,0,0,0.0,67,7,9.571428571428571,36.0,2010-12-27,Yes,156.96.44.80,3.0,3.0,Fidèles,35-44,VIP,Occasionnel,Automne,Matin,UK,Établi,Élevé,Inconnu,Moyen,Explorateur,F,Active,United Kingdom,0
18074,374,1,489.6,37.66153846153846,28.254373952290948,15.8,102.0,190,14.615384615384617,2,48,0,374,2,9,12,0.0,0.0,13,13,13.0,1,0,0,0,0.0,13,1,13.0,40.0,10/02/2010,Yes,56.138.151.176,2.0,4.0,Potentiels,35-44,Medium,Perdu,Hiver,Matin,UK,Nouveau,Critique,Inconnu,Moyen,Modéré,Unknown,Active,United Kingdom,1
17420,50,3,598.83,19.961,5.365604603268926,12.48,39.6,265,8.833333333333334,1,24,323,374,1,15,6,0.0,11.10344827586207,28,28,9.333333333333334,1,0,0,0,0.0,30,3,10.0,28.0,17/09/10,Yes,180.242.143.55,2.0,-1.0,Potentiels,25-34,High,Occasionnel,Été,Après-midi,UK,Établi,Moyen,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom,0
16029,39,76,50992.61,186.10441605839412,933.7723490590412,-8142.75,8142.75,32148,117.32846715328468,-1296,2400,335,374,1,11,10,0.0,1.1465201465201464,46,47,0.6052631578947368,1,32,0,32,0.1167883211678832,274,76,3.6052631578947367,,2010-09-28,Yes,43.50.6.161,2.0,3.0,Champions,Inconnu,VIP,Régulier,Automne,Matin,UK,Établi,Moyen,Inconnu,Grand,Explorateur,Unknown,Active,United Kingdom,0
16250,261,2,389.44,16.226666666666667,4.731409999113387,5.04,27.0,208,8.666666666666666,2,24,112,374,2,9,12,0.0,4.869565217391305,22,22,11.0,1,0,0,0,0.0,24,2,12.0,,11/25/2010,Yes,62.55.167.140,-1.0,3.0,Potentiels,Inconnu,Medium,Perdu,Hiver,Matin,UK,Jeune,Critique,Inconnu,Moyen,Explorateur,M,Active,United Kingdom,1
12431,36,18,6416.389999999999,26.73495833333333,50.20159874263217,-38.16,601.44,2868,11.95,-36,336,338,374,3,14,10,0.125,1.3849372384937235,163,163,9.055555555555555,2,4,1,4,0.0166666666666666,240,18,13.333333333333334,70.0,12/09/10,Yes,116.228.31.74,2.0,1.0,Champions,65+,VIP,Régulier,Automne,Après-midi,Océanie,Établi,Moyen,Semaine,Moyen,Explorateur,F,Active,Australia,0
17511,3,46,88125.38,81.90091078066915,87.97828932242282,-179.0,745.0,63012,58.561338289962826,-100,600,370,374,2,11,12,0.0,0.3255813953488372,467,479,10.152173913043478,1,113,0,113,0.1050185873605948,1076,46,23.39130434782609,53.0,2010-09-19,Yes,181.34.169.10,4.0,2.0,Champions,45-54,VIP,Hyperactif,Hiver,Matin,UK,Ancien,Faible,Inconnu,Grand,Explorateur,F,Active,United Kingdom,0
17548,218,3,-141.48,-8.32235294117647,21.79515184892381,-41.400000000000006,30.0,-132,-7.764705882352941,-24,24,155,374,2,10,12,0.0,9.6875,12,12,4.0,1,12,0,12,0.7058823529411765,17,3,5.666666666666667,,07/28/2010,Yes,52.203.185.78,2.0,4.0,Dormants,Inconnu,Low,Perdu,Hiver,Matin,UK,Jeune,Critique,Inconnu,Petit,Modéré,F,Active,United Kingdom,1
13705,8,3,711.86,25.423571428571428,29.77312934874216,7.800000000000001,165.0,363,12.964285714285714,1,32,366,374,0,9,12,0.0,13.51851851851852,25,25,8.333333333333334,1,0,0,0,0.0,28,3,9.333333333333334,41.0,24/10/10,Yes,3.185.161.135,1.0,5.0,Fidèles,35-44,High,Occasionnel,Hiver,Matin,UK,Ancien,Faible,Inconnu,Moyen,Explorateur,M,Active,United Kingdom,0
13747,374,1,79.6,79.6,0.0,79.6,79.6,8,8.0,8,8,0,374,2,10,12,0.0,,1,1,1.0,1,0,0,0,0.0,1,1,1.0,,2010-06-12,Yes,4.167.48.254,2.0,-1.0,Dormants,Inconnu,Low,Perdu,Hiver,Matin,UK,Nouveau,Critique,Inconnu,Moyen,Spécialisé,Unknown,Active,United Kingdom,1
13408,2,81,27487.41,54.86508982035928,50.54074055098437,-110.43,306.0,16119,32.17365269461078,-48,192,371,374,2,12,12,0.1816367265469061,0.688,236,244,2.9135802469135803,1,23,0,23,0.0459081836327345,501,81,6.185185185185185,,12/22/2010,Yes,74.79.144.166,2.0,5.0,Champions,Inconnu,VIP,Hyperactif,Hiver,Midi,UK,Ancien,Faible,Semaine,Grand,Explorateur,Unknown,Active,United Kingdom,0
13767,2,52,16945.71,42.47045112781954,55.98517467790531,-63.75,532.8000000000001,7258,18.19047619047619,-11,288,371,374,0,14,12,0.0927318295739348,0.8793969849246231,55,55,1.0576923076923077,1,31,0,31,0.0776942355889724,399,52,7.673076923076923,70.0,06/02/10,Yes,4.4.120.119,2.0,4.0,Champions,65+,VIP,Hyperactif,Hiver,Après-midi,UK,Ancien,Faible,Semaine,Grand,Explorateur,F,Active,United Kingdom,0
17924,1,13,2894.33,76.16657894736842,82.68118539129574,-13.95,367.2000000000001,1141,30.026315789473685,-5,120,372,374,0,10,10,0.0,9.91891891891892,27,27,2.076923076923077,1,7,0,7,0.1842105263157894,38,13,2.923076923076923,19.0,2010-01-01,Yes,228.155.214.214,2.0,1.0,Champions,18-24,VIP,Hyperactif,Automne,Matin,UK,Ancien,Faible,Inconnu,Grand,Explorateur,Unknown,Active,United Kingdom,0
13448,17,10,3465.6700000000005,17.415427135678396,13.9076639976737,-29.75,60.0,1638,8.231155778894472,-12,48,357,374,1,12,9,0.0,1.7828282828282829,137,138,13.7,1,4,0,4,0.0201005025125628,199,10,19.9,,05/10/2010,Yes,17.237.226.96,3.0,1.0,Champions,Inconnu,VIP,Hyperactif,Automne,Midi,UK,Établi,Faible,Inconnu,Moyen,Explorateur,M,Active,United Kingdom,0
