feature,VIF
Recency,100281.20056987274
Frequency,inf
MonetaryAvg,5.554537596030521
MonetaryStd,7.302294694041477
MonetaryMin,1.9154178235685988
MonetaryMax,9.001912722426017
TotalQuantity,7.2689573707016475
AvgQuantityPerTransaction,4.635572030988253
MinQuantity,1.8641204884257863
MaxQuantity,4.136541013928561
CustomerTenureDays,179242.28972475708
FirstPurchaseDaysAgo,340198.28675661
PreferredDayOfWeek,5.164551997040302
PreferredHour,32.12897309364596
PreferredMonth,7.94505683058722
WeekendPurchaseRatio,2.2358038843227037
AvgDaysBetweenPurchases,1.8706680787835208
UniqueProducts,14160.786945489523
UniqueDescriptions,14618.462692680341
AvgProductsPerTransaction,150.10833504895092
UniqueCountries,671.7663330372302
NegativeQuantityCount,inf
ZeroPriceCount,1.0215789049312092
CancelledTransactions,inf
ReturnRatio,1.517169075027381
TotalTransactions,58.51976495796304
UniqueInvoices,inf
AvgLinesPerInvoice,164.44137837863525
Age,293.97647066857405
SupportTicketsCount,1.032180685920496
SatisfactionScore,1.127666165400305
AgeCategory,129.75670903624945
LoyaltyLevel,22.611206862001975
RegYear,768.6733002358833
RegMonth,4.812323937519711
MonetaryPerDay,2.0300741967079943
AvgBasketValue,5.617572942291688
